rc_number,sources,status
JK138520,renewbuy,deny
OD29C3370,renewbuy,deny
OR05AT1068,renewbuy,deny
OD05AS2722,renewbuy,deny
OR02BD7435,renewbuy,deny
PB09W0721,renewbuy,deny
PB09AK8004,renewbuy,deny
UP32EN2866,renewbuy,deny
DL3CAY7937,renewbuy,deny
BR27P1655,renewbuy,deny
UP85P0131,renewbuy,deny
JK13A3905,renewbuy,deny
OR13E7033,renewbuy,deny
DL4CAE8807,renewbuy,deny
TN11R1276,renewbuy,deny
OR02J6561,renewbuy,deny
PB09AH3327,renewbuy,deny
TN10AB9617,renewbuy,deny
TN02AM7855,renewbuy,deny
TN22BS5307,renewbuy,deny
HR29AD7255,renewbuy,deny
MH14FC4332,renewbuy,deny
HR26BV3537,renewbuy,deny
OR19N8781,renewbuy,deny
MH14AM0308,renewbuy,deny
JK03D3326,renewbuy,deny
MH48AC7893,renewbuy,deny
OD05C8191,renewbuy,deny
UK04TB0659,renewbuy,deny
BR01BF3761,renewbuy,deny
OD07U8780,renewbuy,deny
DL8CP5914,renewbuy,deny
HR10W2261,renewbuy,deny
MH04HN4744,renewbuy,deny
MH04CT3576,renewbuy,deny
MH01BD0309,renewbuy,deny
TN02AP5379,renewbuy,deny
TN18AY8520,renewbuy,deny
TN22CQ1827,renewbuy,deny
TN06T0245,renewbuy,deny
TN18AL8384,renewbuy,deny
TN82A6959,renewbuy,deny
UP14HT7887,renewbuy,deny
DL9CAC6427,renewbuy,deny
MH48F1508,renewbuy,deny
MH43BG6859,renewbuy,deny
DL7CN3806,renewbuy,deny
TN909730,renewbuy,deny
OR02BP6006,renewbuy,deny
OD02S8947,renewbuy,deny
OR02BB9310,renewbuy,deny
BR1AC8171,renewbuy,deny
OR02AW9555,renewbuy,deny
OD01U4959,renewbuy,deny
JK01K5323,renewbuy,deny
UP32HA6909,renewbuy,deny
UP78FA5776,renewbuy,deny
OR02BM8563,renewbuy,deny
OD02AS5464,renewbuy,deny
OR02BH7386,renewbuy,deny
OD05M3776,renewbuy,deny
UP23V4436,renewbuy,deny
PB29AB4501,renewbuy,deny
PB22E0416,renewbuy,deny
OD02T4862,renewbuy,deny
OR02AU1981,renewbuy,deny
OD33AB9593,renewbuy,deny
OD02K8851,renewbuy,deny
OD01C2263,renewbuy,deny
TN18C5070,renewbuy,deny
MH04GD9527,renewbuy,deny
PB09AB6859,renewbuy,deny
PB17B9300,renewbuy,deny
MH01BD0856,renewbuy,deny
MH48F4386,renewbuy,deny
MH14FC2381,renewbuy,deny
TN22DD0839,renewbuy,deny
UP62CD0831,renewbuy,deny
UP60J3575,renewbuy,deny
OR19M0897,renewbuy,deny
PB27G8199,renewbuy,deny
OR02AZ8080,renewbuy,deny
OD198800,renewbuy,deny
OD05A5327,renewbuy,deny
OD05T3733,renewbuy,deny
PB11BD0090,renewbuy,deny
HP20C8000,renewbuy,deny
TN40L0741,renewbuy,deny
TN22CZ5281,renewbuy,deny
TN128717,renewbuy,deny
TN85H1156,renewbuy,deny
MH31FC4884,renewbuy,deny
HR26AN7599,renewbuy,deny
TN12W2037,renewbuy,deny
TN69AD0925,renewbuy,deny
UK04TA4053,renewbuy,deny
TN05AH9915,renewbuy,deny
TN18H1786,renewbuy,deny
TN76K2418,renewbuy,deny
JK05B5583,renewbuy,deny
UP32HN0254,renewbuy,deny
UP32EN8768,renewbuy,deny
UP32FN8213,renewbuy,deny
TN22BM2148,renewbuy,deny
TN22BS6327,renewbuy,deny
KA41A0701,renewbuy,deny
DL1CAB2133,renewbuy,deny
MH46X9153,renewbuy,deny
